priority,content_type,url,focus_keyphrase,seo_title,meta_description,yoast_action,recommended_robots,content_source,issues_notes,title_chars,meta_chars,current_title,current_meta_description,current_h1
P0,Partner Story,https://trafigurafoundation.org/partner-stories/the-international-rescue-committee-irc-2/,IRC health supply chains,IRC Health Capacity Building | Trafigura Foundation,"From 2021–2023, Trafigura Foundation helped IRC upgrade health infrastructure, recruit pharmacists, and expand pharmaceutical e-learning for field staff.",Update Yoast fields,"index, follow",para3–4 2021–2023 pharmacists/e-learning,Possible duplicate slug (numbered); review canonical vs primary partner page,51,153,The International Rescue Committee — Trafigura Foundation,"Established in 2007, the Trafigura Foundation invests in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",The International Rescue Committee
P0,Partner Story,https://trafigurafoundation.org/partner-stories/the-nature-conservancy-2/,Africa Forest Carbon Catalyst,Africa Forest Carbon Catalyst | Trafigura Foundation,"Trafigura Foundation backs The Nature Conservancy's Africa Forest Carbon Catalyst in Congo and Zambia, building investment-ready forest carbon projects.",Update Yoast fields,"index, follow",para3–5 AFCC Congo & Zambia,Possible duplicate slug (numbered); review canonical vs primary partner page,52,152,The Nature Conservancy Partnership | Trafigura Foundation,Discover how Trafigura Foundation collaborates with The Nature Conservancy to promote conservation and protect natural ecosystems.,The Nature Conservancy
P0,Utility,https://trafigurafoundation.org/do-not-delete-4/,do not delete utility,Do Not Delete | Trafigura Foundation,Internal utility placeholder page retained for Trafigura Foundation site maintenance. This page is not intended for public search visibility.,"Set noindex,nofollow in Yoast; remove from sitemap","noindex, follow",h1 only (empty body),should be noindex | INDEXABLE utility page,36,141,do not delete — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",do not delete
P0,Utility,https://trafigurafoundation.org/do-not-delete/,do not delete placeholder,Do Not Delete | Trafigura Foundation,"Internal placeholder page with a sample heading and lorem text, retained for Trafigura Foundation site structure and not for public indexing.","Set noindex,nofollow in Yoast; remove from sitemap","noindex, follow",h1 Heading 1 + lorem para,should be noindex | INDEXABLE utility page with H1 'Heading 1',36,141,do not delete — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Heading 1
P1,News,https://trafigurafoundation.org/news/2023-2027-strategic-centring-our-funding-on-climate-adaptation/,2023-2027 climate adaptation strategy,2023–2027 Climate Adaptation Strategy | Trafigura Foundation,Trafigura Foundation's 2023–2027 strategy centres funding on climate adaptation through catalytic solutions for resilient communities and ecosystems.,Update Yoast fields,"index, follow",para1+para3 mission; adaptation focus,,60,149,2023-2027 Strategy: Centring our Funding on Climate Adaptation — Trafigura Foundation,"Explore Trafigura Foundation's commitment to climate adaptation through its 2023-2027 strategy, focusing on sustainable funding .",2023-2027 Strategy: Centring our Funding on Climate Adaptation
P1,News,https://trafigurafoundation.org/news/addressing-climate-and-health-an-investment-opportunity-for-social-investors/,climate health investment panel,Climate & Health Investment Panel | Trafigura Foundation,Executive Director Dario Soto Abril joined an AVPN Asia WHO World Health Assembly side panel on climate–health investment for social investors.,Update Yoast fields,"index, follow",para2 AVPN WHO WHA panel,,56,143,Addressing Climate and Health: Investing in a Sustainable Future — Trafigura Foundation,Discover the impact of climate change on health and explore investment opportunities to address these challenges. Join our panel discussion.,Addressing Climate and Health: An Investment Opportunity for Social Investors
P1,News,https://trafigurafoundation.org/news/celebrating-continuous-learning-annes-training-achievement/,impact management training Brussels,Anne's Impact Management Training | Trafigura Foundation,Programme Manager Anne Nayral de Puybusque completed Impact Europe's 10-week Impact Management training in Brussels with 21 practitioners from 15 countries.,Update Yoast fields,"index, follow",para2 Impact Europe 10-week Brussels,,56,156,Empowering Impact Investing: Anne's Training Success Story — Trafigura Foundation,Gain insights into the world of impact investing. Explore the lessons learned from a comprehensive training program in Brussels.,Celebrating Continuous Learning: Anne’s Training Achievement
P1,News,https://trafigurafoundation.org/news/executive-director-joins-white-house-meeting/,PCA White House meeting,White House Meeting with PCA | Trafigura Foundation,Executive Director Dario Soto Abril joined Partnership for Central America at the White House as PCA announced over $1 billion in private commitments.,Update Yoast fields,"index, follow",para1 PCA White House $1bn,,51,150,Executive Director Joins White House Meeting — Trafigura Foundation,"Trafigura Foundation’s Executive Director participated in a White House meeting to discuss global challenges, sustainability efforts.",Executive Director Joins White House Meeting
P1,News,https://trafigurafoundation.org/news/field-visit-in-indonesia-experience-thriving-nature-in-borneo/,Planet Indonesia Borneo visit,Planet Indonesia Borneo Field Visit | Trafigura Foundation,"Nina Saalismaa visited Planet Indonesia in Borneo, seeing community-led agroforestry and governance near Gunung Nyiut nature reserve, West Kalimantan.",Update Yoast fields,"index, follow",para2–3 Planet Indonesia Gunung Nyiut,,58,150,Borneo: Experience Thriving Nature — Trafigura Foundation,Trafigura Foundation's field visit to Borneo highlights thriving ecosystems and the importance of biodiversity conservation in Indonesia.,Borneo: Experience Thriving Nature
P1,News,https://trafigurafoundation.org/news/field-visit-joining-the-dots-to-build-climate-resilience-in-east-africa/,BOMA climate resilience East Africa,Climate Resilience in Eastern Africa | Trafigura Foundation,Programme Manager Anne de Puybusque visited Kenya and Ethiopia to see how partner BOMA helps dryland communities strengthen livelihoods and ecosystems.,Update Yoast fields,"index, follow",para1–2 BOMA Kenya & Ethiopia,,59,151,Joining the Dots to Build Climate Resilience in East Africa — Trafigura Foundation,Explore how to build climate resilience in East Africa through effective programs that uplift livelihoods and ecosystems.,Eastern Africa: Joining the Dots to Build Climate Resilience
P1,News,https://trafigurafoundation.org/news/field-visit-tanzania-uniting-climate-protection-with-community-resilience/,Tanzania forest carbon field visit,TNC Tanzania Carbon Field Visit | Trafigura Foundation,Nina Saalismaa and Celine Guerin joined The Nature Conservancy's Africa Forest Carbon Catalyst donor visit to community carbon projects in Tanzania.,Update Yoast fields,"index, follow",para2–3 TNC AFCC Tanzania visit,,54,148,Uniting Climate Protection and Community Resilience in Tanzania — Trafigura Foundation,Discover how The Nature Conservancy works with local communities and stakeholders in Tanzania to maximize gains in carbon sequestration.,Tanzania: Uniting Climate Protection with Community Resilience
P1,News,https://trafigurafoundation.org/news/fostering-collective-action-insights-from-the-latimpacto-annual-conference/,Latimpacto climate adaptation conference,Latimpacto Climate Conference | Trafigura Foundation,Executive Director Dario Soto Abril joined a Latimpacto roundtable in Mexico on Latin America's climate adaptation finance gap with CAF and Fundación Avina.,Update Yoast fields,"index, follow",para1–2 Latimpacto Mexico CAF Avina,,52,156,Scaling Climate Solutions: Highlights from Latimpacto Conference — Trafigura Foundation,Discover the initiatives to address climate resilience in Latin America. Join the dialogue-based workshop during Climate Week in New York.,Fostering Collective Action: Insights from the Latimpacto Annual Conference
P1,News,https://trafigurafoundation.org/news/honouring-womens-day-empowering-communities-globally/,Women’s Day partner empowerment,Women's Day Partner Spotlights | Trafigura Foundation,"On International Women's Day, Trafigura Foundation highlights partners BOMA, Root Capital, Planet Indonesia and Nuru empowering women entrepreneurs.",Update Yoast fields,"index, follow",para2–5 BOMA Root Capital Planet Nuru,,53,148,Honouring Women’s Day: Empowering Communities Globally — Trafigura Foundation,Learn how Women’s Day initiatives create pathways out of poverty for women through entrepreneurship and community governance.,Honouring Women’s Day: Empowering Communities Globally
P1,News,https://trafigurafoundation.org/news/innovate-collaborate-sustain/,COP 28 Executive Director message,Executive Director's COP 28 Message | Trafigura Foundation,"At COP 28 in Dubai, Executive Director Dario Soto-Abril calls on partners to unite, collaborate and scale climate action for a resilient planet.",Update Yoast fields,"index, follow",para1 COP 28 Dubai message,,58,144,"Innovate, Collaborate, Sustain | Trafigura Foundation Initiatives",Discover Trafigura Foundation's commitment to sustainability through innovative collaborations that create impactful solutions for communities,Our Executive Director’s Message for COP 28
P1,News,https://trafigurafoundation.org/news/looking-ahead-building-resilience-for-2025/,climate resilience funding 2025,Fostering Resilience in 2025 | Trafigura Foundation,"Closing 2024, Trafigura Foundation celebrates partners' climate adaptation work and recommits to funding solutions that help people and nature thrive in 2025.",Update Yoast fields,"index, follow",para1 look-ahead 2025 adaptation,,51,158,Fostering Resilience in 2025 — Trafigura Foundation,"Looking ahead to 2025, we remain committed to funding innovative solutions that empower both people and nature to thrive in a changing climate.",Fostering Resilience in 2025
P1,News,https://trafigurafoundation.org/news/new-partnerships-to-advance-climate-adaptation-and-equip-youth-for-the-green-economy/,new climate adaptation partnerships,New Climate Adaptation Partnerships | Trafigura Foundation,"Trafigura Foundation announces three new partnerships for climate adaptation, including Root Capital catalytic finance and advisory for agri-enterprises.",Update Yoast fields,"index, follow",para1–2+para5 three partnerships; Root Capital,,58,153,Trafigura Foundation climate adaptation partnerships 2025 — Trafigura Foundation,"Explore the Trafigura Foundation's strategic partnerships to With Planet Indonesia, and Education for Employment",New Partnerships to Advance Climate Adaptation and Equip Youth for the Green Economy
P1,News,https://trafigurafoundation.org/news/our-foundation-granted-observer-status-at-the-un-biodiversity-conference-cop16/,COP16 biodiversity observer status,COP16 Observer Status in Cali | Trafigura Foundation,"Trafigura Foundation held observer status at UN Biodiversity COP16 in Cali, Colombia, advancing Latimpacto climate dialogues and partner engagement.",Update Yoast fields,"index, follow",para1+para3 COP16 Cali observer,,52,148,Observer Status at United Nations Biodiversity Conference — Trafigura Foundation,Explore the Observer Status at United Nations Biodiversity Conference in Colombia and its impact on global climate action.,UN Biodiversity Conference (COP16): Our Foundation Granted Observer Status
P1,News,https://trafigurafoundation.org/news/our-foundation-is-accredited-to-attend-the-2025-un-ocean-conference/,2025 UN Ocean Conference accreditation,Accredited for 2025 UN Ocean Conference | Trafigura Foundation,"Trafigura Foundation is accredited for the 2025 UN Ocean Conference in Nice (9–13 June), co-hosted by France and Costa Rica to advance SDG 14.",Update Yoast fields,"index, follow",para1–2 Nice June 2025 SDG 14,,62,142,Trafigura Foundation in the 2025 UN Ocean Conference — Trafigura Foundation,"Join the discussion at the UN Ocean Conference in Nice, focusing on sustainable ocean use and conservation strategies.",Our Foundation is Accredited to Attend the 2025 UN Ocean Conference
P1,News,https://trafigurafoundation.org/news/our-foundation-supports-relief-efforts-in-flood-stricken-rio-grande-do-sul-brazil/,Brazil flood relief CUFA,Rio Grande do Sul Flood Relief | Trafigura Foundation,"Trafigura Foundation backs CUFA's flood relief in Rio Grande do Sul, Brazil, after rains displaced over 600,000 people and affected 1.9 million.",Update Yoast fields,"index, follow",para2+para4 CUFA; 1.9M affected,,53,144,Helping Rio Grande do Sul Recover from Devastating Floods — Trafigura Foundation,"Learn about the devastating floods in Rio Grande do Sul, Brazil, and the humanitarian response efforts to support affected communities.","Our Foundation Supports Relief Efforts in Flood-Stricken Rio Grande do Sul, Brazil"
P1,News,https://trafigurafoundation.org/news/regenerative-food-systems/,regenerative food producers,Regenerative Food Producers | Trafigura Foundation,"Partner The Nature Conservancy profiles regenerative producers using agroforestry, cover crops and no-till to restore soils from Brazil to Kenya.",Update Yoast fields,"index, follow",para3–5 TNC regenerative practices,,50,145,Regenerative Food Producers: Champions of Climate Resilience — Trafigura Foundation,Trafigura Foundation is driving regenerative food systems that promote sustainable agriculture and support local communities. Learn more.,Regenerative Food Producers: Champions of Climate Resilience
P1,News,https://trafigurafoundation.org/news/supporting-the-un-led-operation/,FSO Safer Red Sea,Preventing Red Sea Oil Spill | Trafigura Foundation,"Trafigura Foundation contributed USD 2 million to the UNDP-led salvage of the decaying FSO Safer, carrying 1.1 million barrels off Yemen's Red Sea coast.",Update Yoast fields,"index, follow",para2–4 FSO Safer; USD2M UNDP,,51,153,Supporting a United Nations-led Operation to Prevent an Oil Spill in the Red Sea — Trafigura Foundation,"Learn about Trafigura Foundation’s role in supporting UN-led operations focused on global sustainability, humanitarian aid.",Supporting a United Nations-led Operation to Prevent an Oil Spill in the Red Sea
P1,News,https://trafigurafoundation.org/news/the-trafigura-foundation-is-seeking-an-investment-manager-to-join-its-efforts/,investment manager climate impact,Investment Manager Role | Trafigura Foundation,"Hiring an Investment Manager for climate-sector impact investing under the five-year strategy, ideally with emerging and frontier market experience.",Update Yoast fields,"index, follow",para2+para3 impact investing climate,,46,148,Investment Manager Position for Climate Impact — Trafigura Foundation,"Explore the Investment Manager Position at the Trafigura Foundation, focusing on climate adaptation and impact investments.",The Trafigura Foundation Seeks an Investment Manager to Further Its Mission
P1,News,https://trafigurafoundation.org/news/trafigura-foundation-2021-annual-report/,2021 annual report,2021 Annual Report | Trafigura Foundation,The 2021 annual report covers protecting partners' progress amid COVID-19 while advancing a philanthropic strategy that incorporates climate action.,Update Yoast fields,"index, follow",para1+para2 COVID resilience climate,,41,148,A Look into the Trafigura Foundation 2021 Annual Report — Trafigura Foundation,"Discover how the Trafigura Foundation is navigating the tumultuous year of 2021, protecting progress and incorporating climate action.",Trafigura Foundation 2021 Annual Report
P1,News,https://trafigurafoundation.org/news/trafigura-foundation-2022-annual-report/,2020 annual report COVID,2020 Annual Report | Trafigura Foundation,The 2020 annual report details the COVID-19 response: reallocating resources so partners could keep serving those most in need during the crisis.,Update Yoast fields,"index, follow",h1+para1+para2 COVID response,Slug says 2022 but page H1/content is 2020 Annual Report — fix slug or title alignment,41,145,Trafigura Foundation 2020 Annual Report: Adapting to the Crisis — Trafigura Foundation,"Trafigura Foundation partners with Planet Indonesia to support biodiversity, protect ecosystems, and empower communities for sustainable live.",Trafigura Foundation 2020 Annual Report
P1,News,https://trafigurafoundation.org/news/trafigura-foundation-enters-2025-with-three-new-partnerships/,Climate Smart Forest Economy,2025 Climate Partnerships | Trafigura Foundation,"Two new 2025 partnerships advance climate-proof prosperity, including the Climate Smart Forest Economy Program's East Africa forest-products coalition.",Update Yoast fields,"index, follow",para1+para3 CSFEP East Africa,,48,151,Trafigura Foundation climate change partnerships 2025 — Trafigura Foundation,Explore the impact of climate change partnerships 2025. Discover how the Trafigura Foundation is supporting sustainable initiatives.,Trafigura Foundation Enters 2025 with Two New Partnerships
P1,News,https://trafigurafoundation.org/news/trafigura-foundation-partners-with-nuru-to-strengthen-rural-resilience-in-west-africa/,Nuru West Africa partnership,Nuru Partnership | Trafigura Foundation,"Partnership with Nuru expands climate-resilient farm cooperatives in Ghana and launches work in Benin, Niger and Togo for conflict-affected communities.",Update Yoast fields,"index, follow",para2+para3 Nuru Ghana Benin Niger Togo,,39,152,Trafigura Foundation partnership with Nuru for West Africa — Trafigura Foundation,Explore the new partnership with Nuru aimed at enhancing agricultural cooperatives in conflict-impacted communities.,Trafigura Foundation Partners with Nuru to Strengthen Rural Resilience in West Africa
P1,News,https://trafigurafoundation.org/news/trafigura-foundation-publishes-2023-annual-report/,2023 annual report,2023 Annual Report | Trafigura Foundation,The 2023 annual report covers the 2023–2027 climate adaptation strategy and how partnerships boost resilience for vulnerable communities and ecosystems.,Update Yoast fields,"index, follow",para1 strategy climate adaptation,,41,152,Profiles of Key Partners: Trafigura Foundation 2023 Annual Report — Trafigura Foundation,Learn how the Foundation catalyzes sustainable development and builds partnerships to prevent disasters and foster economic opportunities.,Trafigura Foundation 2023 Annual Report
P1,News,https://trafigurafoundation.org/news/trafigura-foundation-publishes-2024-annual-report/,2024 annual report,2024 Annual Report | Trafigura Foundation,"2024 annual report: 22 partners and 41 climate initiatives across 31 countries, reaching 60,000 people and mobilising USD 10 million in catalytic funding.",Update Yoast fields,"index, follow",lis 22 partners 41 initiatives 60k USD10m,,41,154,Trafigura Foundation 2024 Annual Report — Trafigura Foundation,"Explore the Trafigura annual report for 2024, highlighting impactful climate solutions and partnerships with global organizations.",Trafigura Foundation 2024 Annual Report
P1,News,https://trafigurafoundation.org/news/trafigura-foundation-responds-to-united-nations-call-on-extreme-heat/,extreme heat climate adaptation,UN Extreme Heat Call | Trafigura Foundation,"Joining ClimateWorks Foundation's extreme-heat call, backing a philanthropy coalition investing an initial USD 50 million in climate adaptation.",Update Yoast fields,"index, follow",para2+para3 ClimateWorks USD 50m,,43,144,United Nations Extreme Heat: A Call to Action — Trafigura Foundation,Trafigura Foundation's $50 million investment in climate adaptation and resilience efforts to tackle extreme heat impact. Take action now!,Trafigura Foundation Responds to United Nations Call on Extreme Heat
P1,News,https://trafigurafoundation.org/news/trafigura-foundation-supports-flood-relief-efforts-in-china/,China flood relief Huludao,China Flood Relief | Trafigura Foundation,"Urgent flood relief for Huludao, Liaoning, after rains hit 2,470 households; Trafigura Shanghai funding covers food, supplies and secondary disasters.",Update Yoast fields,"index, follow",para2+para3 Huludao 2470 households,,41,150,Trafigura Foundation Supports Flood Relief Efforts in China — Trafigura Foundation,"Discover the devastating effects of the recent flooding in Huludao, China. Trafigura Foundation steps in to provide urgent support.",Trafigura Foundation Supports Flood Relief Efforts in China
P1,News,https://trafigurafoundation.org/news/wetlands-a-secret-weapon-against-climate-change/,wetlands carbon climate resilience,Wetlands & Climate | Trafigura Foundation,"Wetlands act as carbon sinks and extreme-weather buffers; Nature Communications finds carbon-rich, often unmapped wetlands in Pacific Northwest forests.",Update Yoast fields,"index, follow",para1+para2 Pacific Northwest wetlands,,41,152,Wetlands: A Secret Weapon Against Climate Change Revealed — Trafigura Foundation,The hidden carbon-storage powerhouses of the Pacific Northwest forests. Learn about the remarkable carbon capacity of these unmapped wetlands.,Wetlands: A secret Weapon Against Climate Change
P1,Page,https://trafigurafoundation.org/contact/,contact Trafigura Foundation,Contact Us | Trafigura Foundation,"Reach the Trafigura Foundation via the contact form, or report grievances anonymously 24/7 through NAVEX Global—select Foundation for follow-up.",Update Yoast fields,"index, follow",para2+lis NAVEX contact form,,33,144,Contact Trafigura Foundation: Where to Find Us — Trafigura Foundation,Fill the form to contact Trafigura Foundation. Find out where you can find us and learn more about our initiatives.,contact us
P1,Page,https://trafigurafoundation.org/staff-engagement/,staff charity matching grants,Staff Engagement | Trafigura Foundation,"Employee-led Charity Committees pick local nonprofits for 12-month Foundation grants, with matching funds that amplify office volunteering and fundraising.",Update Yoast fields,"index, follow",para3+para4+para5 Charity Committees match,"Current meta sounds like HR engagement, not philanthropy matching",39,155,Staff Engagement: Key to Organizational Success —Trafigura Foundation,Explore the importance of staff engagement in Trafigura's workplace and how it impacts productivity and employee satisfaction.,Staff Engagement
P1,Page,https://trafigurafoundation.org/tales-of-resistence/,Tales of Resilience campaign,Tales of Resilience | Trafigura Foundation,Tales of Resilience is a three-video campaign on communities and projects backed by Foundation funding building sustainable solutions and lasting change.,Rename slug + 301 redirect; update Yoast,"index, follow",para2 three-video campaign,Spelling: resistence→resilience; slug typo hurts SEO/AEO | Slug misspells resilience (resistence),42,153,Tales of Resistence — Trafigura Foundation,"Established in 2007, The Trafigura Foundation invest in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",TALES OF RESISTENCE
P1,Partner Story,https://trafigurafoundation.org/partner-stories/alliance-for-responsible-mining-arm/,Alliance for Responsible Mining,Alliance for Responsible Mining | Trafigura Foundation,"Supporting ARM (2023–2025) to strengthen standards, training and outreach so artisanal and small-scale mining is socially and environmentally responsible.",Update Yoast fields,"index, follow",para3+para5 ARM grant 2023-2025,,54,154,Trafigura Foundation & ARM: Promoting Responsible Mining,Discover how Trafigura Foundation partners with the Alliance for Responsible Mining (ARM) to promote sustainable and ethical mining practices.,Alliance for Responsible Mining (ARM)
P1,Partner Story,https://trafigurafoundation.org/partner-stories/beneficial-returns/,Beneficial Returns Reciprocity Fund,Beneficial Returns | Trafigura Foundation,Long-term grants help Beneficial Returns' Reciprocity Fund finance social enterprises serving Indigenous communities in Latin America and Southeast Asia.,Update Yoast fields,"index, follow",para2+para5 Reciprocity Fund SE Asia,,41,153,Supporting enterprises serving indigenous communities — Trafigura Foundation,"The Trafigura Foundation partners with Beneficial Returns to support social enterprises serving indigenous communities in Latin America and Southeast Asia—boosting climate resilience, sustainable livelihoods, and biodiversity protection.",Beneficial Returns
P1,Partner Story,https://trafigurafoundation.org/partner-stories/blue-alliance/,Blue Alliance marine protected areas,Blue Alliance MPAs | Trafigura Foundation,"Blue Alliance co-manages marine protected areas for governments, spanning community engagement, surveillance, research and reef-positive enterprises.",Update Yoast fields,"index, follow",para4+para5 Blue Alliance MPA co-management,,41,149,Protecting coastal ecosystems for people and nature,"Established in 2007, the Trafigura Foundation invests in solutions that address climate resilience and the socio-economic needs of vulnerable communities.",Blue Alliance
P1,Partner Story,https://trafigurafoundation.org/partner-stories/blue-catalyst-fund/,Blue Catalyst Fund mangroves,Blue Catalyst Fund | Trafigura Foundation,"Recoverable grant facility de-risking blue carbon projects that conserve and restore mangroves, buffering coasts and unlocking local livelihoods.",Update Yoast fields,"index, follow",para1+para2 mangroves recoverable grant,,41,145,Blue Catalyst Fund — Trafigura Foundation,"Established in 2007, the Trafigura Foundation invests in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Blue Catalyst Fund
P1,Partner Story,https://trafigurafoundation.org/partner-stories/boma/,BOMA Ethiopia Green REAP,BOMA Ethiopia Partnership | Trafigura Foundation,"In Ethiopia's Borena zone, BOMA's Green REAP builds women's green enterprises amid drought—empowering 2,100 entrepreneurs between 2022 and 2025.",Update Yoast fields,"index, follow",para3+para4 Borena Green REAP 2100 women,,48,144,BOMA: A Partner in Community Resilience | Trafigura Foundation,Discover how Trafigura Foundation partners with BOMA to empower communities and enhance resilience in challenging environments.,BOMA
P1,Partner Story,https://trafigurafoundation.org/partner-stories/bridges-to-prosperity/,Bridges to Prosperity Rwanda,Bridges to Prosperity | Trafigura Foundation,"Backing Bridges to Prosperity's Rwanda trailbridges connecting rural communities to markets, schools and healthcare—part of 250+ bridges by 2024.",Update Yoast fields,"index, follow",para4+para5 Rwanda trailbridges 250+,,44,145,Bridges to Prosperity — Trafigura Foundation,"Established in 2007, the Trafigura Foundation invests in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Bridges to Prosperity
P1,Partner Story,https://trafigurafoundation.org/partner-stories/clim-eat/,Clim-Eat African agriculture,Clim-Eat Partnership | Trafigura Foundation,"With Clim-Eat, backing climate adaptation policy for African smallholders—starting with investment, irrigation and digitalisation across five countries.",Update Yoast fields,"index, follow",para4 Kenya Malawi Rwanda Tanzania Zambia,,43,152,Clim-Eat: Sustainable Food Solutions | Trafigura Foundation,Explore how Trafigura Foundation partners with Clim-Eat to promote sustainable food solutions and combat climate change.,Clim-Eat
P1,Partner Story,https://trafigurafoundation.org/partner-stories/climate-smart-forest-economy-program/,Climate Smart Forest Economy,Climate Smart Forest Economy | Trafigura Foundation,The Climate Smart Forest Economy Program builds sustainable forest-product value chains and bio-based construction materials that counter deforestation.,Update Yoast fields,"index, follow",para1+para3 forest product value chains,,51,152,Climate Smart Forest Economy Program — Trafigura Foundation,Learn about the Climate Smart Forest Economy Program that aims to advance bio-based materials and sustainable development in forestry.,Climate Smart Forest Economy Program
P1,Partner Story,https://trafigurafoundation.org/partner-stories/comaco/,COMACO Zambia conservation,COMACO Zambia | Trafigura Foundation,"COMACO in Zambia links chemical-free agroforestry to premium It's Wild! markets, carbon credits and school feeding for climate-resilient rural livelihoods.",Update Yoast fields,"index, follow",para3+para4 COMACO Zambia It's Wild!,,36,155,COMACO — Trafigura Foundation,"Established in 2007, the Trafigura Foundation invests in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",COMACO
P1,Partner Story,https://trafigurafoundation.org/partner-stories/conexsus/,Conexsus Amazon enterprises,Conexsus Amazon | Trafigura Foundation,"Partnering with Conexsus so Amazon community enterprises gain market protocols, impact reporting and finance access—improving livelihoods for 4,000 people.",Update Yoast fields,"index, follow",para3+para4+para5 Conexsus Amazon 4000,,38,155,Empowering Communities: Trafigura Foundation and Conexsus,Discover how Trafigura Foundation collaborates with Conexsus to promote sustainable development and empower local communities.,Conexsus
P1,Partner Story,https://trafigurafoundation.org/partner-stories/education-for-employment/,green skills MENA youth,Education for Employment | Trafigura Foundation,Education for Employment embeds green-economy skills so young people and women across MENA can succeed in today's and tomorrow's job markets.,Update Yoast fields,"index, follow",para1 green economy MENA youth/women,,47,141,Education for Employment — Partner — Trafigura Foundation,"Explore how Education for Employment empowers youth in the green economy, providing essential skills for future job markets.",Education for Employment
P1,Partner Story,https://trafigurafoundation.org/partner-stories/efe-egypt/,EFE Egypt youth employment,EFE Egypt youth employment | Trafigura Foundation,"Education for Employment equips Egyptian youth with in-demand skills, job links and mentorship, targeting 65% of graduates into income-generating work.",Update Yoast fields,"index, follow",para2–3 Egypt skills gap + li 65% graduates,,49,151,Education for Employment — Trafigura Foundation,"Established in 2007, the Trafigura Foundation invests in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Education for Employment
P1,Partner Story,https://trafigurafoundation.org/partner-stories/global-resilience-partnership/,climate resilience innovation,Global Resilience Partnership | Trafigura Foundation,"The Global Resilience Partnership scales climate resilience innovations across the Global South via Innovation Challenges, capacity building and policy.",Update Yoast fields,"index, follow",para3 GRP alliance + para5 Innovation Challenges,,52,152,Accelerating innovations for climate adaptation,"Established in 2007, the Trafigura Foundation invests in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Global Resilience Partnership
P1,Partner Story,https://trafigurafoundation.org/partner-stories/iswan/,ISWAN seafarer welfare,ISWAN seafarer welfare | Trafigura Foundation,"ISWAN supports seafarers with SeafarerHelp, a 24/7 multilingual helpline, plus relief funds and regional aid in South-East Asia and West and Central Africa.",Update Yoast fields,"index, follow",para2 SeafarerHelp + para4 regional programme,,45,156,ISWAN — Trafigura Foundation,"Established in 2007, the Trafigura Foundation invests in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",ISWAN
P1,Partner Story,https://trafigurafoundation.org/partner-stories/maliasili/,community-led conservation Africa,Maliasili community conservation | Trafigura Foundation,"Maliasili strengthens community-led conservation groups across sub-Saharan Africa, intensifying support in Botswana, Mozambique, Tanzania, Uganda and Zimbabwe.",Update Yoast fields,"index, follow",para2 community-led conservation + para4 five countries,,55,159,Community-led conservation in Africa,"Established in 2007, the Trafigura Foundation invests in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Maliasili
P1,Partner Story,https://trafigurafoundation.org/partner-stories/new-energy-nexus-nex/,climate-tech MSME adaptation,NEX climate-tech entrepreneurs | Trafigura Foundation,"New Energy Nexus helps clean-energy startups scale climate-adaptation solutions for MSMEs across Indonesia, Nigeria and Pakistan with funding and support.",Update Yoast fields,"index, follow",para3–5 NEX startups + three countries,,53,154,New Energy Nexus (NEX) - Trafigura Foundation,"Established in 2007, the Trafigura Foundation invests in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",New Energy Nexus (NEX)
P1,Partner Story,https://trafigurafoundation.org/partner-stories/nuru/,climate-resilient farming cooperatives,Nuru climate-resilient farming | Trafigura Foundation,"Nuru strengthens cooperative agribusinesses in fragile West African communities with finance, markets and climate-resilient farming practices.",Update Yoast fields,"index, follow",para3–4 West Africa cooperatives + climate practices,,53,142,"Nuru , Helping farmers thrive in Africa — Partners Stories — Trafigura Foundation","Explore the Nuru Initiative, a program designed to help farmers thrive in climate-affected Africa with tailored support.",Nuru
P1,Partner Story,https://trafigurafoundation.org/partner-stories/partnership-for-central-america-pca/,Central America climate adaptation,PCA Central America adaptation | Trafigura Foundation,"Partnership for Central America mobilises governments and businesses to advance climate adaptation in agriculture across Guatemala, Honduras and El Salvador.",Update Yoast fields,"index, follow",para5 PCA adaptation Guatemala Honduras El Salvador,,53,157,Trafigura & PCA: Community Development Partners,Learn about Trafigura Foundation's role in advancing PCA's community development efforts in Central America.,Partnership for Central America (PCA)
